"","country.code","region","component","stimulus"
"52","EST","OECD+","Health sector spending",231521739.1
"53","ETH","MAF","Health sector spending",4.3e+08
"54","EU","EU","Health sector spending",0
"55","FIN","OECD+","Health sector spending",1086956522
"56","FJI","OECD+","Health sector spending",0
"57","FRA","OECD+","Health sector spending",9e+06
"58","GAB","MAF","Health sector spending",0
"59","GBR","OECD+","Health sector spending",19612250.07
"60","GEO","REF","Health sector spending",206581335.4
"61","GHA","MAF","Health sector spending",0
"62","GMB","MAF","Health sector spending",0
"63","GNB","MAF","Health sector spending",8e+05
"64","GNQ","MAF","Health sector spending",16118852.46
"65","GRC","OECD+","Health sector spending",0
"66","GTM","LAM","Health sector spending",0
"67","GUM","OECD+","Health sector spending",0
"68","GUY","LAM","Health sector spending",0
"69","HKG","ASIA","Health sector spending",3827262869
"70","HND","LAM","Health sector spending",215729013.9
"71","HRV","OECD+","Health sector spending",0
"72","HTI","LAM","Health sector spending",38634884.68
"73","HUN","OECD+","Health sector spending",947297476.7
"74","IDN","ASIA","Health sector spending",5e+06
"75","IND","ASIA","Health sector spending",2e+06
"76","IRL","OECD+","Health sector spending",2e+09
"77","IRN","MAF","Health sector spending",9.26e+09
"78","IRQ","MAF","Health sector spending",0
"79","ISL","OECD+","Health sector spending",0
"80","ISR","MAF","Health sector spending",3063590565
"81","ITA","OECD+","Health sector spending",7e+06
"82","JAM","LAM","Health sector spending",0
"83","JOR","MAF","Health sector spending",0
"84","JPN","OECD+","Health sector spending",3.8e+07
"85","KAZ","REF","Health sector spending",0
"86","KEN","MAF","Health sector spending",0
"87","KGZ","REF","Health sector spending",1.6e+07
"88","KHM","ASIA","Health sector spending",6e+07
"89","KOR","ASIA","Health sector spending",4e+06
"90","KWT","MAF","Health sector spending",0
"91","LAO","ASIA","Health sector spending",0
"92","LBN","MAF","Health sector spending",0
"93","LBR","MAF","Health sector spending",0
"94","LBY","MAF","Health sector spending",0
"95","LKA","ASIA","Health sector spending",0
"96","LSO","MAF","Health sector spending",26433226.28
"97","LTU","OECD+","Health sector spending",543478260.9
"98","LUX","OECD+","Health sector spending",210869565.2
"99","LVA","OECD+","Health sector spending",15217391.3
"100","MAC","ASIA","Health sector spending",0
"101","MAR","MAF","Health sector spending",0
"102","MDA","REF","Health sector spending",0
"103","MDG","MAF","Health sector spending",0
"104","MDV","ASIA","Health sector spending",0
"105","MEX","LAM","Health sector spending",2e+06
"106","MKD","OECD+","Health sector spending",0
"107","MLI","MAF","Health sector spending",0
"108","MLT","OECD+","Health sector spending",147065217.4
"109","MMR","ASIA","Health sector spending",209818.38
"110","MNE","OECD+","Health sector spending",0
"111","MNG","ASIA","Health sector spending",6875676.3
"112","MOZ","MAF","Health sector spending",33153086.83
"113","MRT","MAF","Health sector spending",0
"114","MUS","MAF","Health sector spending",38309151.91
"115","MWI","MAF","Health sector spending",2e+07
"116","MYS","ASIA","Health sector spending",0
"117","NAM","MAF","Health sector spending",166239209.4
"118","NCL","OECD+","Health sector spending",0
"119","NER","MAF","Health sector spending",0
"120","NGA","MAF","Health sector spending",37200000
"121","NIC","LAM","Health sector spending",0
"122","NLD","OECD+","Health sector spending",0
"123","NOR","OECD+","Health sector spending",0
"124","NPL","ASIA","Health sector spending",0
"125","NZL","OECD+","Health sector spending",345958911.6
"126","OMN","MAF","Health sector spending",0
"127","PAK","ASIA","Health sector spending",123128378
"128","PAN","LAM","Health sector spending",0
"129","PER","LAM","Health sector spending",334692112.5
"130","PHL","ASIA","Health sector spending",1112768872
"131","PNG","ASIA","Health sector spending",0
"132","POL","OECD+","Health sector spending",0
"133","PRI","LAM","Health sector spending",0
"134","PRT","OECD+","Health sector spending",0
"135","PRY","LAM","Health sector spending",5e+08
"136","PYF","OECD+","Health sector spending",0
"137","QAT","MAF","Health sector spending",0
"138","ROU","OECD+","Health sector spending",0
"139","RUS","REF","Health sector spending",3e+06
"140","RWA","MAF","Health sector spending",0
"141","SAU","MAF","Health sector spending",1.3e+07
"142","SDN","MAF","Health sector spending",1236100821
"143","SEN","MAF","Health sector spending",141618633.9
"144","SGP","ASIA","Health sector spending",593101488.3
"145","SLB","OECD+","Health sector spending",0
"146","SLE","MAF","Health sector spending",0
"147","SLV","LAM","Health sector spending",0
"148","SOM","MAF","Health sector spending",0
"149","SRB","OECD+","Health sector spending",389318400.8
"150","SUR","LAM","Health sector spending",54271275.34
"151","SVK","OECD+","Health sector spending",0
"152","SVN","OECD+","Health sector spending",0
"153","SWE","OECD+","Health sector spending",0
"154","SWZ","MAF","Health sector spending",0
"155","SYR","MAF","Health sector spending",0
"156","TCD","MAF","Health sector spending",55783705.87
"157","TGO","MAF","Health sector spending",1.87e+08
"158","THA","ASIA","Health sector spending",18569972391
"159","TJK","REF","Health sector spending",0
"160","TKM","REF","Health sector spending",815222857.1
"161","TLS","ASIA","Health sector spending",0
"162","TTO","LAM","Health sector spending",0
"163","TUN","MAF","Health sector spending",0
"164","TUR","OECD+","Health sector spending",0
"165","TZA","MAF","Health sector spending",3200000
"166","UGA","MAF","Health sector spending",0
"167","UKR","REF","Health sector spending",580871838.9
"168","URY","LAM","Health sector spending",0
"169","USA","OECD+","Health sector spending",3.04e+08
"170","UZB","REF","Health sector spending",0
"171","VEN","LAM","Health sector spending",0
"172","VNM","ASIA","Health sector spending",0
"173","WSM","OECD+","Health sector spending",0
"174","ZAF","MAF","Health sector spending",1e+06
"175","ZMB","MAF","Health sector spending",0
"176","ZWE","MAF","Health sector spending",0
"177","AFG","ASIA","General spending",77451878.33
"178","AGO","MAF","General spending",0
"179","ALB","OECD+","General spending",149694475.1
"180","ARE","MAF","General spending",7215793056.5
"181","ARG","LAM","General spending",1.1e+07
"182","ARM","REF","General spending",137900000
"183","AUS","OECD+","General spending",1.07e+08
"184","AUT","OECD+","General spending",44555434782
"185","AZE","REF","General spending",1941157440
"186","BDI","MAF","General spending",78960227.27
"187","BEL","OECD+","General spending",15543478260
"188","BEN","MAF","General spending",162031818.98
"189","BFA","MAF","General spending",0
"190","BGD","ASIA","General spending",1047130431.2
"191","BGR","OECD+","General spending",1367791973
"192","BHR","MAF","General spending",1114595585.57
"193","BHS","LAM","General spending",50547000
"194","BIH","OECD+","General spending",1325057358.76
"195","BLR","REF","General spending",0
"196","BLZ","LAM","General spending",18712031.64
"197","BOL","LAM","General spending",3.06e+08
"198","BRA","LAM","General spending",1.12e+08
"199","BRB","LAM","General spending",0
"200","BRN","ASIA","General spending",0
"201","BTN","ASIA","General spending",0
"202","BWA","MAF","General spending",60168010.37
"203","CAF","MAF","General spending",42177999.34
"204","CAN","OECD+","General spending",1.45e+08
"205","CHE","OECD+","General spending",33746356927.09
"206","CHL","LAM","General spending",2.615e+10
"207","CHN","ASIA","General spending",8.41e+08
"208","CIV","MAF","General spending",903148004.3
"209","CMR","MAF","General spending",44986859.57
"210","COD","MAF","General spending",141682605.9
"211","COG","MAF","General spending",180218923.1
"212","COL","LAM","General spending",9269317122
"213","COM","MAF","General spending",0
"214","CPV","MAF","General spending",23551179.88
"215","CRI","LAM","General spending",292474944
"216","CUB","LAM","General spending",0
"217","CYP","OECD+","General spending",1109593913.04
"218","CZE","OECD+","General spending",10217391304
"219","DEU","OECD+","General spending",3.07e+08
"220","DJI","MAF","General spending",0
"221","DNK","OECD+","General spending",27387000339.62
"222","DOM","LAM","General spending",5.76e+08
"223","DZA","MAF","General spending",98633038.99
"224","ECU","LAM","General spending",1.64e+08
"225","EGY","MAF","General spending",5178054.6
"226","ERI","MAF","General spending",0
"227","ESP","OECD+","General spending",40707173913
"228","EST","OECD+","General spending",633695652.1
"229","ETH","MAF","General spending",1.21e+09
"230","EU","EU","General spending",4e+07
"231","FIN","OECD+","General spending",11304347826.1
"232","FJI","OECD+","General spending",479068895.3
"233","FRA","OECD+","General spending",1.15e+08
"234","GAB","MAF","General spending",6.78e+08
"235","GBR","OECD+","General spending",70710833.57
"236","GEO","REF","General spending",928925431.72
"237","GHA","MAF","General spending",3.1e+08
"238","GMB","MAF","General spending",33500000
"239","GNB","MAF","General spending",9e+05
