group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,non.health,health,business,deferrals,loans.guarantees,other
,GEO,Georgia,REF,2.534110833,,0,17599660629,,"1,538,014,813.22","307,800,270.50","206,581,335.40","197,307,865.70","353,181,079.60","402,508,046.10",70636215.92
,GHA,Ghana,MAF,4.586816667,,0,65556464048,,"500,000,000.00","200,000,000.00","100,000,000.00",-,-,"200,000,000.00",0
,GMB,Gambia,MAF,48.15134559,,0,1632823199,,"33,500,000.00",,,,,,33500000
,GNB,Guinea-Bissau,MAF,NA,,#VALUE!,1458156026,,"1,700,000.00","900,000.00","800,000.00",-,-,-,0
,GNQ,Equatorial Guinea,MAF,555.7178304,,0,13432377050,,"16,118,852.46",,"16,118,852.46",,,,0
,GRC,Greece,OECD90+EU,0.92,24000000000,26086956522,2.18E+11,,"26,086,956,521.74",,,,,"2,173,913,043.00","23,913,043,478.26"
,GTM,Guatemala,LAM,7.519164583,,0,78460447920,0.034,"2,667,655,229.28",,,,,,2667655229
,GUM,Guam,OECD90+EU,NA,,#VALUE!,5920000000,,0,,,,,,0
,GUY,Guyana,LAM,207.7166667,,0,3878662621,,0,,,,,,0
,HKG,Hong Kong,ASIA,7.8385,2.88E+11,36677935830,3.63E+11,,"36,677,935,829.56","9,057,855,457.00","3,827,262,869.00","13,650,570,900.00","10,142,246,603.00",,0
,HND,Honduras,LAM,23.90272829,,0,23969890431,0.1,"1,003,367,699.10","287,638,685.20","215,729,013.90",-,-,"500,000,000.00",0
,HRV,Croatia,OECD90+EU,6.27902525,,0,60971699315,,0,,,,,,0
,HTI,Haiti,LAM,68.03175398,,0,9658721169,,"135,222,096.36","19,317,442.34","38,634,884.68",,,,77269769.35
,HUN,Hungary,OECD90+EU,270.2116667,,0,1.58E+11,,"9,518,982,637.07",,"947,297,476.70","2,465,361,106.00",,"6,106,324,055.00",0
G20,IDN,Indonesia,ASIA,14236.93877,6.77E+14,47566405305,1.04E+12,,"40,000,000,000.00","22,000,000,000.00","5,000,000,000.00",-,-,"13,000,000,000.00",
G20,IND,India,ASIA,68.38946709,,0,2.72E+12,,"190,000,000,000.00","33,000,000,000.00","2,000,000,000.00",-,"10,000,000,000.00","145,000,000,000.00",
