"","country.code","region","Health sector spending","General spending","Liquidity support"
"141","SAU","MAF",1.3e+07,1.6e+07,6e+06
"142","SDN","MAF",1236100821,4062901700.16,0
"143","SEN","MAF",141618633.9,1547453334.64,0
"144","SGP","ASIA",593101488.3,53453271634.21,14827537208
"145","SLB","OECD+",0,40113147.44,0
"146","SLE","MAF",0,7500000,0
"147","SLV","LAM",0,0,0
"148","SOM","MAF",0,0,0
"149","SRB","OECD+",389318400.8,2825054036.8,2635386098
"150","SUR","LAM",54271275.34,93802204.3,0
"151","SVK","OECD+",0,2032608696,0
"152","SVN","OECD+",0,7608695652.13,0
"153","SWE","OECD+",0,40954759754,27034743096
"154","SWZ","MAF",0,7552350.36,0
"155","SYR","MAF",0,0,0
"156","TCD","MAF",55783705.87,135277382.9,0
"157","TGO","MAF",1.87e+08,22700000,0
"158","THA","ASIA",18569972391,58804912572,0
"159","TJK","REF",0,0,0
"160","TKM","REF",815222857.1,2975563428.6,1793490286
"161","TLS","ASIA",0,0,0
"162","TTO","LAM",0,0,0
"163","TUN","MAF",0,268241694.58,0
"164","TUR","OECD+",0,1.2e+07,6.3e+07
"165","TZA","MAF",3200000,384400000,0
"166","UGA","MAF",0,369300000,0
"167","UKR","REF",580871838.9,8444700088,0
"168","URY","LAM",0,8e+08,0
"169","USA","OECD+",3.04e+08,2.139e+09,5.1e+08
"170","UZB","REF",0,0,0
"171","VEN","LAM",0,0,0
"172","VNM","ASIA",0,11990062849.13,0
"173","WSM","OECD+",0,25625367.67,0
"174","ZAF","MAF",1e+06,1.7e+07,1.2e+07
"175","ZMB","MAF",0,252434867.6,0
"176","ZWE","MAF",0,2e+06,0
