"","country.code","region","gdp","component","stimulus","check"
"150","SUR","LAM",3590753768.84422,"Health.sector.spending",54271275.34,15.1141734671126
"151","SVK","OECD+",105904632155.755,"Health.sector.spending",0,0
"152","SVN","OECD+",54007972106.4629,"Health.sector.spending",0,0
"153","SWE","OECD+",556086488936.559,"Health.sector.spending",0,0
"154","SWZ","MAF",4710618471.93167,"Health.sector.spending",0,0
"155","SYR","MAF",NA,"Health.sector.spending",0,NA
"156","TCD","MAF",11273115239.4255,"Health.sector.spending",55783705.87,4.94838424740905
"157","TGO","MAF",5358722982.70893,"Health.sector.spending",1.87e+08,34.8963737449007
"158","THA","ASIA",504992757704.997,"Health.sector.spending",18569972391,36.772749920996
"159","TJK","REF",7522947810.12326,"Health.sector.spending",0,0
"160","TKM","REF",40761142857.1429,"Health.sector.spending",815222857.1,19.9999999989486
"161","TLS","ASIA",2.581e+09,"Health.sector.spending",0,0
"162","TTO","LAM",23808146747.7994,"Health.sector.spending",0,0
"163","TUN","MAF",39871132267.9361,"Health.sector.spending",0,0
"164","TUR","OECD+",771350330455.267,"Health.sector.spending",0,0
"165","TZA","MAF",58001200572.3965,"Health.sector.spending",3200000,0.055171271774035
"166","UGA","MAF",27461440192.3549,"Health.sector.spending",0,0
"167","UKR","REF",130832374404.882,"Health.sector.spending",580871838.9,4.43981729707357
"168","URY","LAM",59596885024.3487,"Health.sector.spending",0,0
"169","USA","OECD+",20544343456936.5,"Health.sector.spending",3.04e+08,0.0147972604058739
"170","UZB","REF",50499921557.5105,"Health.sector.spending",0,0
"171","VEN","LAM",NA,"Health.sector.spending",0,NA
"172","VNM","ASIA",245213686369.157,"Health.sector.spending",0,0
"173","WSM","OECD+",820491798.30076,"Health.sector.spending",0,0
"174","ZAF","MAF",368288939768.322,"Health.sector.spending",1e+06,0.00271525938473489
"175","ZMB","MAF",26720073435.9014,"Health.sector.spending",0,0
"176","ZWE","MAF",31000519447.175,"Health.sector.spending",0,0
"177","AFG","ASIA",19362969582.3643,"General.spending",77451878.33,4.00000000002803
"178","AGO","MAF",105750987618.63,"General.spending",0,0
"179","ALB","OECD+",15102500898.238,"General.spending",149694475.1,9.91189976472471
"180","ARE","MAF",414178942592.479,"General.spending",7215793056.5,17.421921576539
"181","ARG","LAM",519871519807.795,"General.spending",1.1e+07,0.0211590740805861
"182","ARM","REF",12433089919.0459,"General.spending",137900000,11.0913699569368
"183","AUS","OECD+",1433904348500.12,"General.spending",1.07e+08,0.0746214349038855
"184","AUT","OECD+",455285818035.125,"General.spending",44555434782,97.8625580174838
"185","AZE","REF",46939529411.7647,"General.spending",1941157440,41.354429077712
"186","BDI","MAF",3036931818.18182,"General.spending",78960227.27,25.9999999991019
"187","BEL","OECD+",542761092103.469,"General.spending",15543478260,28.6377901550778
"188","BEN","MAF",10354274634.9108,"General.spending",162031818.98,15.648785133986
"189","BFA","MAF",14124775068.569,"General.spending",0,0
"190","BGD","ASIA",274024958965.892,"General.spending",1047130431.2,3.82129582338643
"191","BGR","OECD+",65132951116.4756,"General.spending",1367791973,20.9999999931527
"192","BHR","MAF",37746196808.5106,"General.spending",1114595585.57,29.528685796464
"193","BHS","LAM",12424500000,"General.spending",50547000,4.06833272968731
"194","BIH","OECD+",20161865419.4327,"General.spending",1325057358.76,65.7209703167081
"195","BLR","REF",59662495092.2654,"General.spending",0,0
