group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,non.health,health,business,deferrals,loans.guarantees,other
,HTI,Haiti,LAM,68.03175398,,0,9658721169,,1.35E+08,1.93E+07,3.86E+07,,,,7.73E+07
,HUN,Hungary,OECD90+EU,270.2116667,,0,1.58E+11,,9.52E+09,,9.47E+08,2.47E+09,,6.11E+09,0.00E+00
G20,IDN,Indonesia,ASIA,14236.93877,6.77E+14,47566405305,1.04E+12,,4.00E+10,2.20E+10,5.00E+09,-,-,1.30E+10,
G20,IND,India,ASIA,68.38946709,,0,2.72E+12,,1.90E+11,3.30E+10,2.00E+09,-,1.00E+10,1.45E+11,
,IRL,Ireland,OECD90+EU,0.92,13300000000,14456521739,3.82E+11,,1.45E+10,,2.00E+09,,,5.00E+09,7.46E+09
,IRN,Iran,MAF,40864.32901,,0,4.63E+11,0.13,6.02E+10,2.78E+09,9.26E+09,,2.78E+10,2.04E+10,0.00E+00
,IRQ,Iraq,MAF,NA,25000000,#VALUE!,2.24E+11,,2.50E+07,,,,,,2.50E+07
,ISL,Iceland,OECD90+EU,108.3001763,2.30E+11,2123726921,25878475760,,2.12E+09,,,,,,2.12E+09
,ISR,Israel,MAF,3.590558127,94000000000,26179773918,3.71E+11,,2.62E+10,5.57E+09,3.06E+09,,,1.14E+10,6.13E+09
G20,ITA,Italy,OECD90+EU,0.92,4.80E+11,5.22E+11,2.08E+12,,6.63E+11,6.50E+10,7.00E+09,-,8.00E+09,5.83E+11,
,JAM,Jamaica,LAM,128.8715191,,0,15713908816,0.011,1.73E+08,,,,,,1.73E+08
,JOR,Jordan,MAF,0.71,,0,42231295775,,2.07E+08,2.07E+08,,,,,
G20,JPN,Japan,OECD90+EU,110.4231793,,0,4.97E+12,0.42,1.96E+12,5.13E+11,3.80E+10,-,2.44E+11,1.17E+12,
